# Produced using StockPerson Data Generator (chapter 1.0)
# https://github.com/bahmanm/stockperson/
# docNo,customer,date,total,discount,lineNo,product,qty,price,lineAmt
IGiKGG,BZLLgBlR,2021-09-30,119499949.69,50.30,1,Sc,868,49908.67,43320728.01912552256
IGiKGG,BZLLgBlR,2021-09-30,119499949.69,50.30,2,ztg2,20,61654.06,1233081.265786542500
IGiKGG,BZLLgBlR,2021-09-30,119499949.69,50.30,3,O9sctT,88,91898.58,8087075.86487729544
IGiKGG,BZLLgBlR,2021-09-30,119499949.69,50.30,4,LXfjr,617,86631.78,53451810.85878421898
IGiKGG,BZLLgBlR,2021-09-30,119499949.69,50.30,5,A,716,37401.94,26779789.3214636096
IGiKGG,BZLLgBlR,2021-09-30,119499949.69,50.30,6,MZkSDA,861,49514.16,42631697.647917766605
IGiKGG,BZLLgBlR,2021-09-30,119499949.69,50.30,7,Po0K,859,62129.02,53368830.29362719903
IGiKGG,BZLLgBlR,2021-09-30,119499949.69,50.30,8,vgwEa,433,26760.03,11587094.78801013555
Vj3Pc2,KmGCyS,2023-10-13,126716068.45,44.60,1,B,108,26364.46,2847362.733852034896
Vj3Pc2,KmGCyS,2023-10-13,126716068.45,44.60,2,c4BlFVt,527,30728.87,16194119.438597425434
Vj3Pc2,KmGCyS,2023-10-13,126716068.45,44.60,3,Ga,150,92615.97,13892396.56205906100
Vj3Pc2,KmGCyS,2023-10-13,126716068.45,44.60,4,YcqE,462,5678.82,2623617.59250827544
Vj3Pc2,KmGCyS,2023-10-13,126716068.45,44.60,5,7yzI,355,56090.71,19912202.987083560
Vj3Pc2,KmGCyS,2023-10-13,126716068.45,44.60,6,UZ,282,79189.09,22331324.55736532952
Vj3Pc2,KmGCyS,2023-10-13,126716068.45,44.60,7,50IMe,55,54745.26,3010989.40568231960
Vj3Pc2,KmGCyS,2023-10-13,126716068.45,44.60,8,WF,828,75010.23,62108478.07648533864
Vj3Pc2,KmGCyS,2023-10-13,126716068.45,44.60,9,GNtwR,49,219.21,10741.29657634101635
Vj3Pc2,KmGCyS,2023-10-13,126716068.45,44.60,10,bm0zj,190,50797.89,9651599.52263794370
Vj3Pc2,KmGCyS,2023-10-13,126716068.45,44.60,11,gCT,771,26002.69,20048080.095064898352
Vj3Pc2,KmGCyS,2023-10-13,126716068.45,44.60,12,7jcuB,471,91996.82,43330505.58165587973
Vj3Pc2,KmGCyS,2023-10-13,126716068.45,44.60,13,8wfkgXi,293,43583.65,12770010.20613089243
9uz2Pw,gjRbfs,2022-04-06,188539833.00,33.36,1,yFe6Wk,236,12329.62,2909791.478915288472
9uz2Pw,gjRbfs,2022-04-06,188539833.00,33.36,2,7v,593,92832.92,55049926.13837340995
9uz2Pw,gjRbfs,2022-04-06,188539833.00,33.36,3,O,59,7177.81,423491.044880231398
9uz2Pw,gjRbfs,2022-04-06,188539833.00,33.36,4,Yx,992,24985.99,24786107.460010392416
9uz2Pw,gjRbfs,2022-04-06,188539833.00,33.36,5,kVw,202,25506.51,5152316.257442971004
9uz2Pw,gjRbfs,2022-04-06,188539833.00,33.36,6,VkMe,808,73895.88,59707872.57204434792
9uz2Pw,gjRbfs,2022-04-06,188539833.00,33.36,7,D2I6U,48,92081.57,4419915.52567031232
9uz2Pw,gjRbfs,2022-04-06,188539833.00,33.36,8,vQ,866,98618.50,85403625.08632369028
9uz2Pw,gjRbfs,2022-04-06,188539833.00,33.36,9,Ym2Ujw,474,95106.26,45080371.42278545112
W4qAWR,gjRbfs,2022-08-03,177990760.55,18.81,1,noGODSa,4,32274.73,129098.93657355568
W4qAWR,gjRbfs,2022-08-03,177990760.55,18.81,2,J6,146,18902.70,2759795.579304547028
W4qAWR,gjRbfs,2022-08-03,177990760.55,18.81,3,BlsEUx8,727,59449.23,43219594.96498882845
W4qAWR,gjRbfs,2022-08-03,177990760.55,18.81,4,GL7snt,944,29881.73,28208355.51094883232
W4qAWR,gjRbfs,2022-08-03,177990760.55,18.81,5,A86rG,958,36668.59,35128512.07244980916
W4qAWR,gjRbfs,2022-08-03,177990760.55,18.81,6,axq8M,989,72049.53,71256990.7002672552
W4qAWR,gjRbfs,2022-08-03,177990760.55,18.81,7,9ggyy,426,83279.33,35476994.91061814418
W4qAWR,gjRbfs,2022-08-03,177990760.55,18.81,8,CHhnRP,669,4581.11,3064767.46153159245
e2grkC,iSrjDhi,2023-11-22,110776556.94,47.54,1,5C,784,20698.80,16227861.33320820272
