# Produced using StockPerson Data Generator (chapter 3.0)
# https://github.com/bahmanm/stockperson/
# product,qty
mTPiahUfdm,8983.01
V4OpOBjd0t,6265.80
wZnwpHb31R,1964.18
DJxmMjKYbN,7730.55
K87b0qo58G,4292.49
w0EnkmEiFt,7348.64
sjzAyGZKCC,3640.20
K35Cl1DXrG,1044.99
BJRnG9K5Gw,9527.51
lNkyCF3yG3,2535.97
v8eQM7jsOi,4624.41
QEMsfGo9RI,9403.98
U7YS0jqeak,459.11
9XrLWsavWn,5996.27
OD8tt5lFlK,7087.68
Js5f2QYdDW,9737.00
qz9J0YiDNz,7759.01
0dVLXYMvCw,2721.92
rwzAiZGLUL,3414.23
iAvvnticPx,3313.34
ELAmqOHrhx,7967.89
XW7z4XvN1s,5833.05
AVLrzFgfIP,3928.17
9N1c9ExC9P,7140.70
bVwWToR3KI,2635.50
Qbk5pcKMDw,7430.37
OsirgbKRsR,1877.56
xMAL5vGFXS,3798.02
K76N56HOd4,1906.82
mRU6LurYxI,8729.85
TScxaCPKG2,6972.70
XGIcT8Feix,8671.74
ht5O7AJ1TO,4315.72
UoHbs4oor7,4617.90
TVrvfjjeMl,2718.38
k5HzCHp3qG,1690.98
2Wdj2YFrNU,17.79
Wrl0I3NOGH,7997.52
3oBdh9pjOL,3708.14
A3ujxXKerI,7083.34
PSl5BnTtPL,4123.66
DhUVuvJ2ia,5385.73
lFe3aap21a,6719.93
ldazFPhGR6,1356.38
8uqFHTkKNV,7644.23
IFbyrY9GeU,721.98
5VAvIY75Jy,8122.95
krF1dWY6qg,3291.45
giPqKa9hCI,9850.32
YYMW4hHbFc,2269.61

